state,date,sex,age,ethnicity,population,area,year,Population_absolute
Kelantan,01/01/2021,both,overall,overall,1812.3,15099,2021,1812300
Melaka,01/01/2021,both,overall,overall,1004.5,1664,2021,1004500
Negeri Sembilan,01/01/2021,both,overall,overall,1204.2,6686,2021,1204200
Pahang,01/01/2021,both,overall,overall,1601.5,36137,2021,1601500
Perak,01/01/2021,both,overall,overall,2515.8,21035,2021,2515800
Perlis,01/01/2021,both,overall,overall,287.6,821,2021,287600
Pulau Pinang,01/01/2021,both,overall,overall,1740,1048,2021,1740000
Sabah,01/01/2021,both,overall,overall,3412.6,73631,2021,3412600
Sarawak,01/01/2021,both,overall,overall,2465.6,124450,2021,2465600
Selangor,01/01/2021,both,overall,overall,7014.7,8104,2021,7014700
Terengganu,01/01/2021,both,overall,overall,1170.7,13035,2021,1170700
Kuala Lumpur,01/01/2021,both,overall,overall,1964,243,2021,1964000
Labuan,01/01/2021,both,overall,overall,96,91,2021,96000
Putrajaya,01/01/2021,both,overall,overall,115.2,49,2021,115200
Johor,01/01/2022,both,overall,overall,4028.3,19210,2022,4028300
Kedah,01/01/2022,both,overall,overall,2163.1,9500,2022,2163100
Kelantan,01/01/2022,both,overall,overall,1830.6,15099,2022,1830600
Melaka,01/01/2022,both,overall,overall,1008.6,1664,2022,1008600
Negeri Sembilan,01/01/2022,both,overall,overall,1207.9,6686,2022,1207900
Pahang,01/01/2022,both,overall,overall,1614.3,36137,2022,1614300
Perak,01/01/2022,both,overall,overall,2514.4,21035,2022,2514400
Perlis,01/01/2022,both,overall,overall,289.8,821,2022,289800
Pulau Pinang,01/01/2022,both,overall,overall,1740.9,1048,2022,1740900
Sabah,01/01/2022,both,overall,overall,3414.9,73631,2022,3414900
Sarawak,01/01/2022,both,overall,overall,2473.5,124450,2022,2473500
Selangor,01/01/2022,both,overall,overall,7050.3,8104,2022,7050300
Terengganu,01/01/2022,both,overall,overall,1186.6,13035,2022,1186600
Kuala Lumpur,01/01/2022,both,overall,overall,1961.2,243,2022,1961200
Labuan,01/01/2022,both,overall,overall,96.9,91,2022,96900
Putrajaya,01/01/2022,both,overall,overall,117,49,2022,117000
Johor,01/01/2023,both,overall,overall,4107.2,19210,2023,4107200
Kedah,01/01/2023,both,overall,overall,2189.3,9500,2023,2189300
Kelantan,01/01/2023,both,overall,overall,1859.8,15099,2023,1859800
Melaka,01/01/2023,both,overall,overall,1028.3,1664,2023,1028300
Negeri Sembilan,01/01/2023,both,overall,overall,1224.9,6686,2023,1224900
Pahang,01/01/2023,both,overall,overall,1643.2,36137,2023,1643200
Perak,01/01/2023,both,overall,overall,2541.2,21035,2023,2541200
Perlis,01/01/2023,both,overall,overall,293.1,821,2023,293100
Pulau Pinang,01/01/2023,both,overall,overall,1772.6,1048,2023,1772600
Sabah,01/01/2023,both,overall,overall,3596.7,73631,2023,3596700
Sarawak,01/01/2023,both,overall,overall,2502.3,124450,2023,2502300
Selangor,01/01/2023,both,overall,overall,7209.7,8104,2023,7209700
Terengganu,01/01/2023,both,overall,overall,1210,13035,2023,1210000
Kuala Lumpur,01/01/2023,both,overall,overall,2005.7,243,2023,2005700
