date,sex,age,ethnicity,population,year
01/01/2001,female,60-64,bumi_malay,125.1,2001
01/01/2001,female,60-64,bumi_other,24.1,2001
01/01/2001,female,60-64,chinese,92.2,2001
01/01/2001,female,60-64,indian,19.8,2001
01/01/2001,female,60-64,other_citizen,1.9,2001
01/01/2001,female,65-69,overall,203.4,2001
01/01/2001,female,65-69,bumi_malay,94.7,2001
01/01/2001,female,65-69,bumi_other,18.7,2001
01/01/2001,female,65-69,chinese,69.7,2001
01/01/2001,female,65-69,indian,14.8,2001
01/01/2001,female,65-69,other_citizen,1.3,2001
01/01/2001,female,70-74,overall,145.1,2001
01/01/2001,female,70-74,bumi_malay,70.4,2001
01/01/2001,female,70-74,bumi_other,12.2,2001
01/01/2001,female,70-74,chinese,49.3,2001
01/01/2001,female,70-74,indian,8.6,2001
01/01/2001,female,70-74,other_citizen,1.1,2001
01/01/2001,female,75-79,overall,82.1,2001
01/01/2001,female,75-79,bumi_malay,38.6,2001
01/01/2001,female,75-79,bumi_other,6.9,2001
01/01/2001,female,75-79,chinese,28.6,2001
01/01/2001,female,75-79,indian,4.8,2001
01/01/2001,female,75-79,other_citizen,0.7,2001
01/01/2001,female,80-84,overall,50.6,2001
01/01/2001,female,80-84,bumi_malay,23.7,2001
01/01/2001,female,80-84,bumi_other,3.6,2001
01/01/2001,female,80-84,chinese,18,2001
01/01/2001,female,80-84,indian,2.7,2001
01/01/2001,female,80-84,other_citizen,0.4,2001
01/01/2001,female,85+,overall,39.7,2001
01/01/2001,female,85+,bumi_malay,17.9,2001
01/01/2001,female,85+,bumi_other,2.8,2001
01/01/2001,female,85+,chinese,14.8,2001
01/01/2001,female,85+,indian,1.7,2001
01/01/2001,female,85+,other_citizen,0.3,2001
01/01/2001,male,0-4,overall,1441.6,2001
01/01/2001,male,0-4,bumi_malay,804.5,2001
01/01/2001,male,0-4,bumi_other,173.3,2001
01/01/2001,male,0-4,chinese,283.3,2001
01/01/2001,male,0-4,indian,94,2001
01/01/2001,male,0-4,other_citizen,23.3,2001
01/01/2001,male,5-9,overall,1386,2001
01/01/2001,male,5-9,bumi_malay,776.9,2001
01/01/2001,male,5-9,bumi_other,174.8,2001
01/01/2001,male,5-9,chinese,270.6,2001
01/01/2001,male,5-9,indian,88.4,2001
01/01/2001,male,5-9,other_citizen,20.9,2001
01/01/2001,male,10-14,overall,1324.6,2001
01/01/2001,male,10-14,bumi_malay,730.2,2001
01/01/2001,male,10-14,bumi_other,162.4,2001
01/01/2001,male,10-14,chinese,269.2,2001
01/01/2001,male,10-14,indian,89.5,2001
01/01/2001,male,10-14,other_citizen,17.6,2001
01/01/2001,male,15-19,overall,1238.8,2001
01/01/2001,male,15-19,bumi_malay,658.4,2001
01/01/2001,male,15-19,bumi_other,147.8,2001
01/01/2001,male,15-19,chinese,262.5,2001
01/01/2001,male,15-19,indian,86.3,2001
01/01/2001,male,15-19,other_citizen,14.6,2001
01/01/2001,male,20-24,overall,1092.4,2001
01/01/2001,male,20-24,bumi_malay,517.1,2001
01/01/2001,male,20-24,bumi_other,119.8,2001
01/01/2001,male,20-24,chinese,244.5,2001
01/01/2001,male,20-24,indian,77.7,2001
01/01/2001,male,20-24,other_citizen,10.3,2001
01/01/2001,male,25-29,overall,986.2,2001
01/01/2001,male,25-29,bumi_malay,430.1,2001
01/01/2001,male,25-29,bumi_other,101.6,2001
01/01/2001,male,25-29,chinese,233.7,2001
01/01/2001,male,25-29,indian,71.6,2001
01/01/2001,male,25-29,other_citizen,7.9,2001
01/01/2001,male,30-34,overall,939.6,2001
01/01/2001,male,30-34,bumi_malay,415.6,2001
01/01/2001,male,30-34,bumi_other,96.4,2001
01/01/2001,male,30-34,chinese,234.6,2001
01/01/2001,male,30-34,indian,69.3,2001
01/01/2001,male,30-34,other_citizen,8,2001
01/01/2001,male,35-39,overall,868.3,2001
01/01/2001,male,35-39,bumi_malay,386.2,2001
01/01/2001,male,35-39,bumi_other,86.7,2001
01/01/2001,male,35-39,chinese,229.9,2001
01/01/2001,male,35-39,indian,65.9,2001
01/01/2001,male,35-39,other_citizen,7.7,2001
01/01/2001,male,40-44,overall,765.8,2001
